# {"t_start": 1574517855.5826716, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
9.0,404,2356.67749
0.0,127,2358.011395
0.0,125,2359.351811
3.0,236,2361.965067
2.0,220,2364.213058
5.0,328,2367.561827
0.0,127,2368.774492
1.0,175,2370.532181
0.0,127,2371.778053
2.0,183,2373.59526
2.0,220,2375.820647
3.0,248,2378.317771
5.0,326,2381.885471
4.0,297,2385.237464
6.0,361,2389.139705
1.0,155,2390.786122
6.0,378,2394.954065
0.0,129,2396.311161
0.0,129,2397.629786
5.0,328,2401.190582
10.0,433,2405.595654
3.0,236,2408.103022
0.0,129,2409.406249
5.0,350,2413.091481
1.0,176,2414.974946
1.0,173,2416.746323
0.0,127,2418.104774
3.0,250,2420.755573
1.0,157,2422.338995
2.0,206,2424.411059
1.0,176,2426.23991
2.0,218,2428.54468
5.0,350,2432.356241
0.0,127,2433.593477
6.0,397,2438.070725
1.0,152,2439.659308
4.0,299,2442.959943
2.0,222,2445.268569
2.0,206,2447.367842
3.0,216,2449.633168
8.0,478,2454.639313
4.0,297,2457.649244
1.0,177,2459.409913
1.0,157,2460.958277
3.0,230,2463.241332
0.0,129,2464.498392
4.0,321,2468.019483
0.0,129,2469.394399
1.0,178,2471.335556
0.0,127,2472.566162
0.0,125,2473.777246
1.0,156,2475.307163
2.0,223,2477.591176
6.0,392,2481.790347
1.0,157,2483.438749
1.0,155,2485.009656
2.0,224,2487.342425
6.0,340,2491.055237
0.0,125,2492.3167
1.0,153,2493.993439
5.0,347,2497.811316
3.0,248,2500.506796
2.0,224,2502.881849
0.0,129,2504.137599
1.0,157,2505.824156
2.0,202,2507.949532
1.0,157,2509.50434
0.0,125,2510.746296
1.0,157,2512.352893
5.0,350,2515.98322
3.0,250,2518.605154
2.0,186,2520.587195
1.0,175,2522.455748
0.0,127,2523.66995
2.0,202,2525.852681
2.0,201,2528.050443
1.0,157,2529.690987
1.0,175,2531.570066
0.0,129,2532.832292
8.0,372,2536.66307
5.0,329,2540.215256
1.0,173,2541.958837
0.0,129,2543.210491
1.0,155,2544.809549
1.0,176,2546.534358
3.0,235,2548.867738
